County,Sex,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
Bomi,Female,50.0,20.0,2.0,1.0
Bomi,Male,78.0,194.0,57.0,36.0
Bong,Female,216.0,159.0,28.0,5.0
Bong,Male,248.0,977.0,343.0,100.0
Gbarpolu,Female,50.0,11.0,1.0,2.0
Gbarpolu,Male,111.0,297.0,84.0,20.0
Grand Bassa,Female,96.0,54.0,1.0,0.0
Grand Bassa,Male,181.0,453.0,87.0,31.0
Grand Cape Mount,Female,136.0,47.0,5.0,3.0
Grand Cape Mount,Male,198.0,567.0,255.0,109.0
Grand Gedeh,Female,216.0,130.0,18.0,9.0
Grand Gedeh,Male,153.0,620.0,254.0,120.0
Grand Kru,Female,54.0,35.0,6.0,4.0
Grand Kru,Male,115.0,366.0,161.0,68.0
Lofa,Female,74.0,43.0,7.0,2.0
Lofa,Male,157.0,556.0,166.0,58.0
Margibi,Female,292.0,195.0,36.0,14.0
Margibi,Male,116.0,801.0,510.0,245.0
Maryland,Female,16.0,6.0,0.0,0.0
Maryland,Male,10.0,43.0,26.0,9.0
Montserrado 1,Female,1509.0,1093.0,136.0,68.0
Montserrado 1,Male,363.0,2912.0,2018.0,1148.0
Montserrado 2,Female,970.0,692.0,125.0,58.0
Montserrado 2,Male,246.0,1860.0,1337.0,739.0
Nimba,Female,776.0,567.0,59.0,18.0
Nimba,Male,427.0,2519.0,1130.0,444.0
River Gee,Female,69.0,51.0,6.0,1.0
River Gee,Male,125.0,309.0,75.0,16.0
Rivercess,Female,10.0,8.0,2.0,0.0
Rivercess,Male,60.0,111.0,29.0,4.0
Sinoe,Female,166.0,74.0,8.0,0.0
Sinoe,Male,220.0,681.0,278.0,70.0
